Function	Time(us)	Alloc Mem	Free Mem	No. Alloc	No. Free	Largest Free
vmemalloc	7	4000	88	1	1	80
vmemalloc	37	8000	176	2	2	80
vmemalloc	46	12000	272	3	2	168
vmemalloc	56	16000	368	4	2	256
vmemalloc	67	20000	464	5	2	344
vmemalloc	79	24000	560	6	2	432
vmemalloc	88	28000	656	7	2	520
vmemalloc	103	32000	752	8	2	608
vmemalloc	115	36000	848	9	2	696
vmemalloc	127	40000	944	10	2	784
vmemalloc	139	44000	1040	11	2	872
vmemalloc	151	48000	1136	12	2	960
vmemalloc	160	52000	1232	13	2	1048
vmemalloc	169	56000	1328	14	2	1136
vmemalloc	178	60000	1424	15	2	1224
vmemalloc	187	64000	1520	16	2	1312
vmemalloc	196	68000	1616	17	2	1400
vmemalloc	208	72000	1712	18	2	1488
vmemalloc	218	76000	1808	19	2	1576
vmemalloc	226	80000	1904	20	2	1664
vmemalloc	235	84000	2000	21	2	1752
vmemalloc	245	88000	2096	22	2	1840
vmemalloc	255	92000	2192	23	2	1928
vmemalloc	264	96000	2288	24	2	2016
vmemalloc	276	100000	2384	25	2	2104
vmemalloc	285	104000	2480	26	2	2192
vmemalloc	294	108000	2576	27	2	2280
vmemalloc	302	112000	2672	28	2	2368
vmemalloc	312	116000	2768	29	2	2456
vmemalloc	321	120000	2864	30	2	2544
vmemalloc	330	124000	2960	31	2	2632
vmemalloc	342	128000	3048	32	3	2632
vmemalloc	354	132000	3144	33	3	2632
vmemalloc	363	136000	3240	34	3	2632
vmemalloc	372	140000	3336	35	3	2632
vmemalloc	383	144000	3432	36	3	2632
vmemalloc	392	148000	3528	37	3	2632
vmemalloc	401	152000	3624	38	3	2632
vmemalloc	410	156000	3720	39	3	2632
vmemalloc	419	160000	3816	40	3	2632
vmemalloc	428	164000	3912	41	3	2632
vmemalloc	437	168000	4008	42	3	2632
vmemalloc	446	172000	4104	43	3	2632
vmemalloc	454	176000	4200	44	3	2632
vmemalloc	463	180000	4296	45	3	2632
vmemalloc	472	184000	4392	46	3	2632
vmemalloc	481	188000	4488	47	3	2632
vmemalloc	493	192000	4584	48	3	2632
vmemalloc	502	196000	4680	49	3	2632
vmemalloc	516	200000	4776	50	3	2632
vmemalloc	527	204000	4872	51	3	2632
vmemalloc	536	208000	4968	52	3	2632
vmemalloc	544	212000	5064	53	3	2632
vmemalloc	553	216000	5160	54	3	2632
vmemalloc	565	220000	5256	55	3	2632
vmemalloc	574	224000	5352	56	3	2632
vmemalloc	586	228000	5448	57	3	2632
vmemalloc	595	232000	5544	58	3	2632
vmemalloc	605	236000	5640	59	3	2632
vmemalloc	614	240000	5736	60	3	2632
vmemalloc	623	244000	5832	61	3	2632
vmemalloc	635	248000	5928	62	3	2720
vmemalloc	647	252000	6024	63	3	2808
vmemalloc	661	256000	6120	64	3	2896
vmemalloc	671	260000	6216	65	3	2984
vmemalloc	679	264000	6312	66	3	3072
vmemalloc	688	268000	6408	67	3	3160
vmemalloc	697	272000	6504	68	3	3248
vmemalloc	706	276000	6600	69	3	3336
vmemalloc	715	280000	6696	70	3	3424
vmemalloc	726	284000	6792	71	3	3512
vmemalloc	735	288000	6888	72	3	3600
vmemalloc	744	292000	6984	73	3	3688
vmemalloc	753	296000	7080	74	3	3776
vmemalloc	763	300000	7176	75	3	3864
vmemalloc	774	304000	7272	76	3	3952
vmemalloc	783	308000	7368	77	3	4040
vmemalloc	787	312000	3368	78	3	2632
vmemalloc	798	316000	3464	79	3	2632
vmemalloc	810	320000	3560	80	3	2632
vmemalloc	820	324000	3656	81	3	2632
vmemalloc	830	328000	3752	82	3	2632
vmemalloc	839	332000	3848	83	3	2632
vmemalloc	848	336000	3944	84	3	2632
vmemalloc	857	340000	4040	85	3	2632
vmemalloc	866	344000	4136	86	3	2632
vmemalloc	877	348000	4232	87	3	2632
vmemalloc	886	352000	4328	88	3	2632
vmemalloc	896	356000	4424	89	3	2632
vmemalloc	906	360000	4520	90	3	2632
vmemalloc	915	364000	4616	91	3	2632
vmemalloc	924	368000	4712	92	3	2632
vmemalloc	938	372000	4808	93	3	2632
vmemalloc	947	376000	4904	94	3	2632
vmemalloc	956	380000	5000	95	3	2632
vmemalloc	968	384000	5096	96	3	2632
vmemalloc	981	388000	5192	97	3	2632
vmemalloc	991	392000	5288	98	3	2632
vmemalloc	999	396000	5384	99	3	2632
vmemalloc	1008	400000	5480	100	3	2632
vmefree  	1311	396000	9488	99	3	4088
vmefree  	1312	392000	13488	98	4	4088
vmefree  	1313	388000	17488	97	5	4088
vmemalloc	1314	392000	13488	98	4	4088
vmemalloc	1319	396000	9488	99	3	4088
vmemalloc	1324	400000	5488	100	3	2632
vmefree  	1633	396000	9488	99	4	4000
vmefree  	1634	392000	13496	98	4	8008
vmefree  	1635	388000	17504	97	4	12016
vmefree  	1636	384000	21512	96	4	16024
vmefree  	1637	380000	25520	95	4	20032
vmefree  	1638	376000	29528	94	4	24040
vmefree  	1639	372000	33536	93	4	28048
vmefree  	1679	368000	37544	92	4	32056
vmefree  	1680	364000	41552	91	4	36064
vmefree  	1681	360000	45560	90	4	40072
vmefree  	1682	356000	49568	89	4	44080
vmefree  	1683	352000	53576	88	4	48088
vmefree  	1684	348000	57584	87	4	52096
vmefree  	1685	344000	61592	86	4	56104
vmefree  	1686	340000	65600	85	4	60112
vmefree  	1687	336000	69608	84	4	64120
vmefree  	1688	332000	73616	83	4	68128
vmefree  	1689	328000	77624	82	4	72136
vmefree  	1690	324000	81632	81	4	76144
vmefree  	1691	320000	85640	80	4	80152
vmefree  	1692	316000	89648	79	4	84160
vmefree  	1693	312000	93656	78	4	88168
vmefree  	1694	308000	97664	77	4	92176
vmefree  	1695	304000	101672	76	4	96184
vmefree  	1696	300000	105680	75	4	100192
vmefree  	1697	296000	109688	74	4	104200
vmefree  	1698	292000	113696	73	4	108208
vmefree  	1699	288000	117704	72	4	112216
vmefree  	1700	284000	121712	71	4	116224
vmefree  	1701	280000	125720	70	4	120232
vmefree  	1702	276000	129728	69	4	124240
vmefree  	1703	272000	133736	68	4	128248
vmefree  	1704	268000	137744	67	4	132256
vmefree  	1705	264000	141752	66	4	136264
vmefree  	1706	260000	145760	65	4	140272
vmefree  	1707	256000	149768	64	4	144280
vmefree  	1708	252000	153776	63	4	148288
vmefree  	1709	248000	157784	62	4	152296
vmefree  	1710	244000	161792	61	4	156304
vmefree  	1711	240000	165800	60	4	160312
vmefree  	1712	236000	169808	59	4	164320
vmefree  	1713	232000	173816	58	4	168328
vmefree  	1714	228000	177824	57	4	172336
vmefree  	1715	224000	181832	56	4	176344
vmefree  	1716	220000	185840	55	4	180352
vmefree  	1717	216000	189848	54	4	184360
vmefree  	1718	212000	193856	53	4	188368
vmefree  	1719	208000	197864	52	4	192376
vmefree  	1720	204000	201872	51	4	196384
vmemalloc	1721	208000	197872	52	4	192376
vmemalloc	1724	212000	193872	53	4	188368
vmemalloc	1728	216000	189872	54	4	184360
vmemalloc	1732	220000	185872	55	4	180352
vmemalloc	1736	224000	181872	56	4	176344
vmemalloc	1740	228000	177872	57	4	172336
vmemalloc	1744	232000	173872	58	4	168328
vmemalloc	1748	236000	169872	59	4	164320
vmemalloc	1752	240000	165872	60	4	160312
vmemalloc	1757	244000	161872	61	4	156304
vmemalloc	1761	248000	157872	62	4	152296
vmemalloc	1765	252000	153872	63	4	148288
vmemalloc	1769	256000	149872	64	4	144280
vmemalloc	1774	260000	145872	65	4	140272
vmemalloc	1778	264000	141872	66	4	136264
vmemalloc	1782	268000	137872	67	4	132256
vmemalloc	1787	272000	133872	68	4	128248
vmemalloc	1791	276000	129872	69	4	124240
vmemalloc	1795	280000	125872	70	4	120232
vmemalloc	1799	284000	121872	71	4	116224
vmemalloc	1804	288000	117872	72	4	112216
vmemalloc	1811	292000	113872	73	4	108208
vmemalloc	1815	296000	109872	74	4	104200
vmemalloc	1819	300000	105872	75	4	100192
vmemalloc	1823	304000	101872	76	4	96184
vmemalloc	1828	308000	97872	77	4	92176
vmemalloc	1834	312000	93872	78	4	88168
vmemalloc	1838	316000	89872	79	4	84160
vmemalloc	1843	320000	85872	80	4	80152
vmemalloc	1847	324000	81872	81	4	76144
vmemalloc	1851	328000	77872	82	4	72136
vmemalloc	1860	332000	73872	83	4	68128
vmemalloc	1864	336000	69872	84	4	64120
vmemalloc	1868	340000	65872	85	4	60112
vmemalloc	1873	344000	61872	86	4	56104
vmemalloc	1877	348000	57872	87	4	52096
vmemalloc	1881	352000	53872	88	4	48088
vmemalloc	1886	356000	49872	89	4	44080
vmemalloc	1890	360000	45872	90	4	40072
vmemalloc	1894	364000	41872	91	4	36064
vmemalloc	1899	368000	37872	92	4	32056
vmemalloc	1903	372000	33872	93	4	28048
vmemalloc	1907	376000	29872	94	4	24040
vmemalloc	1912	380000	25872	95	4	20032
vmemalloc	1916	384000	21872	96	4	16024
vmemalloc	1923	388000	17872	97	4	12016
vmemalloc	1931	392000	13872	98	4	8008
vmemalloc	1935	396000	9872	99	4	4000
vmemalloc	1947	400000	9968	100	4	4000
vmefree  	1951	396000	13976	99	4	6064
vmefree  	1952	392000	17984	98	4	8008
vmefree  	1953	388000	21992	97	4	12016
vmefree  	1954	384000	26000	96	4	16024
vmefree  	1955	380000	30008	95	4	20032
vmefree  	1956	376000	34016	94	4	24040
vmefree  	1957	372000	38024	93	4	28048
vmefree  	1958	368000	42032	92	4	32056
vmefree  	1959	364000	46040	91	4	36064
vmefree  	1960	360000	50048	90	4	40072
vmefree  	1961	356000	54056	89	4	44080
vmefree  	1962	352000	58064	88	4	48088
vmefree  	1973	348000	62072	87	4	52096
vmefree  	1974	344000	66080	86	4	56104
vmefree  	1975	340000	70088	85	4	60112
vmefree  	1976	336000	74096	84	4	64120
vmefree  	1977	332000	78104	83	4	68128
vmefree  	1978	328000	82112	82	4	72136
vmefree  	1979	324000	86120	81	4	76144
vmefree  	1980	320000	90128	80	4	80152
vmefree  	1981	316000	94136	79	4	84160
vmefree  	1982	312000	98144	78	4	88168
vmefree  	1983	308000	102152	77	4	92176
vmefree  	1985	304000	106160	76	4	96184
vmefree  	1986	300000	110168	75	4	100192
vmefree  	1987	296000	114176	74	4	104200
vmefree  	1988	292000	118184	73	4	108208
vmefree  	1989	288000	122192	72	4	112216
vmefree  	1990	284000	126200	71	4	116224
vmefree  	1991	280000	130208	70	4	120232
vmefree  	1992	276000	134216	69	4	124240
vmefree  	1993	272000	138224	68	4	128248
vmefree  	1994	268000	142232	67	4	132256
vmefree  	1995	264000	146240	66	4	136264
vmefree  	1996	260000	150248	65	4	140272
vmefree  	1997	256000	154256	64	4	144280
vmefree  	1998	252000	158264	63	4	148288
vmefree  	1999	248000	162272	62	4	152296
vmefree  	2000	244000	166280	61	4	156304
vmefree  	2001	240000	170288	60	4	160312
vmefree  	2002	236000	174296	59	4	164320
vmefree  	2003	232000	178304	58	4	168328
vmefree  	2004	228000	182312	57	4	172336
vmefree  	2004	224000	186320	56	4	176344
vmefree  	2005	220000	190328	55	4	180352
vmefree  	2006	216000	194336	54	4	184360
vmefree  	2007	212000	198344	53	4	188368
vmefree  	2008	208000	202352	52	4	192376
vmefree  	2009	204000	206360	51	4	196384
Function	Time(us)	Alloc Mem	Free Mem	No. Alloc	No. Free	Largest Free
vmemalloc	3	4000	88	1	1	80
vmemalloc	15	8000	176	2	2	80
vmemalloc	23	12000	272	3	2	168
vmemalloc	30	16000	368	4	2	256
vmemalloc	37	20000	464	5	2	344
vmemalloc	44	24000	560	6	2	432
vmemalloc	51	28000	656	7	2	520
vmemalloc	57	32000	752	8	2	608
vmemalloc	63	36000	848	9	2	696
vmemalloc	70	40000	944	10	2	784
vmemalloc	76	44000	1040	11	2	872
vmemalloc	82	48000	1136	12	2	960
vmemalloc	88	52000	1232	13	2	1048
vmemalloc	94	56000	1328	14	2	1136
vmemalloc	100	60000	1424	15	2	1224
vmemalloc	106	64000	1520	16	2	1312
vmemalloc	111	68000	1616	17	2	1400
vmemalloc	117	72000	1712	18	2	1488
vmemalloc	123	76000	1808	19	2	1576
vmemalloc	129	80000	1904	20	2	1664
vmemalloc	134	84000	2000	21	2	1752
vmemalloc	140	88000	2096	22	2	1840
vmemalloc	146	92000	2192	23	2	1928
vmemalloc	153	96000	2288	24	2	2016
